행정구역(동읍면)별,5세별,항목,단위,2022.09 월
사직동,0 - 4세,여자인구수[명],명,101
사직동,5 - 9세,총인구수[명],명,331
사직동,5 - 9세,남자인구수[명],명,163
사직동,5 - 9세,여자인구수[명],명,168
사직동,10 - 14세,총인구수[명],명,337
사직동,10 - 14세,남자인구수[명],명,148
사직동,10 - 14세,여자인구수[명],명,189
사직동,15 - 19세,총인구수[명],명,334
사직동,15 - 19세,남자인구수[명],명,147
사직동,15 - 19세,여자인구수[명],명,187
사직동,20 - 24세,총인구수[명],명,424
사직동,20 - 24세,남자인구수[명],명,183
사직동,20 - 24세,여자인구수[명],명,241
사직동,25 - 29세,총인구수[명],명,700
사직동,25 - 29세,남자인구수[명],명,298
사직동,25 - 29세,여자인구수[명],명,402
사직동,30 - 34세,총인구수[명],명,747
사직동,30 - 34세,남자인구수[명],명,350
사직동,30 - 34세,여자인구수[명],명,397
사직동,35 - 39세,총인구수[명],명,690
사직동,35 - 39세,남자인구수[명],명,265
사직동,35 - 39세,여자인구수[명],명,425
사직동,40 - 44세,총인구수[명],명,696
사직동,40 - 44세,남자인구수[명],명,307
사직동,40 - 44세,여자인구수[명],명,389
사직동,45 - 49세,총인구수[명],명,719
사직동,45 - 49세,남자인구수[명],명,321
사직동,45 - 49세,여자인구수[명],명,398
사직동,50 - 54세,총인구수[명],명,827
사직동,50 - 54세,남자인구수[명],명,385
사직동,50 - 54세,여자인구수[명],명,442
사직동,55 - 59세,총인구수[명],명,677
사직동,55 - 59세,남자인구수[명],명,300
사직동,55 - 59세,여자인구수[명],명,377
사직동,60 - 64세,총인구수[명],명,693
사직동,60 - 64세,남자인구수[명],명,323
사직동,60 - 64세,여자인구수[명],명,370
사직동,65 - 69세,총인구수[명],명,495
사직동,65 - 69세,남자인구수[명],명,236
사직동,65 - 69세,여자인구수[명],명,259
사직동,70 - 74세,총인구수[명],명,378
사직동,70 - 74세,남자인구수[명],명,154
사직동,70 - 74세,여자인구수[명],명,224
사직동,75 - 79세,총인구수[명],명,320
사직동,75 - 79세,남자인구수[명],명,135
사직동,75 - 79세,여자인구수[명],명,185
사직동,80 - 84세,총인구수[명],명,313
사직동,80 - 84세,남자인구수[명],명,127
사직동,80 - 84세,여자인구수[명],명,186
사직동,85 - 89세,총인구수[명],명,172
사직동,85 - 89세,남자인구수[명],명,73
사직동,85 - 89세,여자인구수[명],명,99
사직동,90 - 94세,총인구수[명],명,59
사직동,90 - 94세,남자인구수[명],명,21
사직동,90 - 94세,여자인구수[명],명,38
사직동,95 - 99세,총인구수[명],명,23
사직동,95 - 99세,남자인구수[명],명,11
사직동,95 - 99세,여자인구수[명],명,12
사직동,100+,총인구수[명],명,1
사직동,100+,남자인구수[명],명,1
사직동,100+,여자인구수[명],명,0
삼청동,계,총인구수[명],명,2349
삼청동,계,남자인구수[명],명,1118
삼청동,계,여자인구수[명],명,1231
삼청동,0 - 4세,총인구수[명],명,28
삼청동,0 - 4세,남자인구수[명],명,11
삼청동,0 - 4세,여자인구수[명],명,17
삼청동,5 - 9세,총인구수[명],명,63
삼청동,5 - 9세,남자인구수[명],명,31
삼청동,5 - 9세,여자인구수[명],명,32
삼청동,10 - 14세,총인구수[명],명,86
삼청동,10 - 14세,남자인구수[명],명,45
삼청동,10 - 14세,여자인구수[명],명,41
삼청동,15 - 19세,총인구수[명],명,80
삼청동,15 - 19세,남자인구수[명],명,53
삼청동,15 - 19세,여자인구수[명],명,27
삼청동,20 - 24세,총인구수[명],명,131
삼청동,20 - 24세,남자인구수[명],명,66
삼청동,20 - 24세,여자인구수[명],명,65
삼청동,25 - 29세,총인구수[명],명,154
삼청동,25 - 29세,남자인구수[명],명,72
삼청동,25 - 29세,여자인구수[명],명,82
삼청동,30 - 34세,총인구수[명],명,162
삼청동,30 - 34세,남자인구수[명],명,81
삼청동,30 - 34세,여자인구수[명],명,81
삼청동,35 - 39세,총인구수[명],명,134
삼청동,35 - 39세,남자인구수[명],명,55
삼청동,35 - 39세,여자인구수[명],명,79
삼청동,40 - 44세,총인구수[명],명,191
삼청동,40 - 44세,남자인구수[명],명,89
삼청동,40 - 44세,여자인구수[명],명,102
삼청동,45 - 49세,총인구수[명],명,148
삼청동,45 - 49세,남자인구수[명],명,71
삼청동,45 - 49세,여자인구수[명],명,77
삼청동,50 - 54세,총인구수[명],명,191
삼청동,50 - 54세,남자인구수[명],명,97
삼청동,50 - 54세,여자인구수[명],명,94
삼청동,55 - 59세,총인구수[명],명,172
삼청동,55 - 59세,남자인구수[명],명,84
삼청동,55 - 59세,여자인구수[명],명,88
삼청동,60 - 64세,총인구수[명],명,214
삼청동,60 - 64세,남자인구수[명],명,102
삼청동,60 - 64세,여자인구수[명],명,112
삼청동,65 - 69세,총인구수[명],명,182
삼청동,65 - 69세,남자인구수[명],명,84
삼청동,65 - 69세,여자인구수[명],명,98
삼청동,70 - 74세,총인구수[명],명,132
삼청동,70 - 74세,남자인구수[명],명,67
삼청동,70 - 74세,여자인구수[명],명,65
삼청동,75 - 79세,총인구수[명],명,103
삼청동,75 - 79세,남자인구수[명],명,43
삼청동,75 - 79세,여자인구수[명],명,60
삼청동,80 - 84세,총인구수[명],명,93
삼청동,80 - 84세,남자인구수[명],명,35
삼청동,80 - 84세,여자인구수[명],명,58
삼청동,85 - 89세,총인구수[명],명,58
삼청동,85 - 89세,남자인구수[명],명,18
삼청동,85 - 89세,여자인구수[명],명,40
삼청동,90 - 94세,총인구수[명],명,21
삼청동,90 - 94세,남자인구수[명],명,10
삼청동,90 - 94세,여자인구수[명],명,11
삼청동,95 - 99세,총인구수[명],명,4
삼청동,95 - 99세,남자인구수[명],명,3
삼청동,95 - 99세,여자인구수[명],명,1
삼청동,100+,총인구수[명],명,2
삼청동,100+,남자인구수[명],명,1
삼청동,100+,여자인구수[명],명,1
부암동,계,총인구수[명],명,9314
부암동,계,남자인구수[명],명,4430
부암동,계,여자인구수[명],명,4884
부암동,0 - 4세,총인구수[명],명,144
부암동,0 - 4세,남자인구수[명],명,64
부암동,0 - 4세,여자인구수[명],명,80
부암동,5 - 9세,총인구수[명],명,309
부암동,5 - 9세,남자인구수[명],명,159
부암동,5 - 9세,여자인구수[명],명,150
부암동,10 - 14세,총인구수[명],명,389
부암동,10 - 14세,남자인구수[명],명,224
부암동,10 - 14세,여자인구수[명],명,165
부암동,15 - 19세,총인구수[명],명,450
부암동,15 - 19세,남자인구수[명],명,241
부암동,15 - 19세,여자인구수[명],명,209
부암동,20 - 24세,총인구수[명],명,556
부암동,20 - 24세,남자인구수[명],명,269
부암동,20 - 24세,여자인구수[명],명,287
부암동,25 - 29세,총인구수[명],명,625
부암동,25 - 29세,남자인구수[명],명,334
부암동,25 - 29세,여자인구수[명],명,291
부암동,30 - 34세,총인구수[명],명,600
부암동,30 - 34세,남자인구수[명],명,316
부암동,30 - 34세,여자인구수[명],명,284
부암동,35 - 39세,총인구수[명],명,576
부암동,35 - 39세,남자인구수[명],명,271
부암동,35 - 39세,여자인구수[명],명,305
부암동,40 - 44세,총인구수[명],명,704
부암동,40 - 44세,남자인구수[명],명,309
부암동,40 - 44세,여자인구수[명],명,395
부암동,45 - 49세,총인구수[명],명,781
부암동,45 - 49세,남자인구수[명],명,346
부암동,45 - 49세,여자인구수[명],명,435
부암동,50 - 54세,총인구수[명],명,867
부암동,50 - 54세,남자인구수[명],명,400
부암동,50 - 54세,여자인구수[명],명,467
부암동,55 - 59세,총인구수[명],명,787
부암동,55 - 59세,남자인구수[명],명,363
부암동,55 - 59세,여자인구수[명],명,424
부암동,60 - 64세,총인구수[명],명,725
부암동,60 - 64세,남자인구수[명],명,344
부암동,60 - 64세,여자인구수[명],명,381
부암동,65 - 69세,총인구수[명],명,580
부암동,65 - 69세,남자인구수[명],명,269
부암동,65 - 69세,여자인구수[명],명,311
부암동,70 - 74세,총인구수[명],명,383
부암동,70 - 74세,남자인구수[명],명,172
부암동,70 - 74세,여자인구수[명],명,211
부암동,75 - 79세,총인구수[명],명,351
부암동,75 - 79세,남자인구수[명],명,162
부암동,75 - 79세,여자인구수[명],명,189
부암동,80 - 84세,총인구수[명],명,265
부암동,80 - 84세,남자인구수[명],명,115
부암동,80 - 84세,여자인구수[명],명,150
부암동,85 - 89세,총인구수[명],명,142
부암동,85 - 89세,남자인구수[명],명,54
부암동,85 - 89세,여자인구수[명],명,88
부암동,90 - 94세,총인구수[명],명,64
부암동,90 - 94세,남자인구수[명],명,15
부암동,90 - 94세,여자인구수[명],명,49
부암동,95 - 99세,총인구수[명],명,12
부암동,95 - 99세,남자인구수[명],명,3
부암동,95 - 99세,여자인구수[명],명,9
부암동,100+,총인구수[명],명,4
부암동,100+,남자인구수[명],명,0
부암동,100+,여자인구수[명],명,4
평창동,계,총인구수[명],명,17767
평창동,계,남자인구수[명],명,8282
평창동,계,여자인구수[명],명,9485
평창동,0 - 4세,총인구수[명],명,442
평창동,0 - 4세,남자인구수[명],명,247
평창동,0 - 4세,여자인구수[명],명,195
평창동,5 - 9세,총인구수[명],명,672
평창동,5 - 9세,남자인구수[명],명,343
평창동,5 - 9세,여자인구수[명],명,329
평창동,10 - 14세,총인구수[명],명,727
평창동,10 - 14세,남자인구수[명],명,350
평창동,10 - 14세,여자인구수[명],명,377
평창동,15 - 19세,총인구수[명],명,814
평창동,15 - 19세,남자인구수[명],명,400
평창동,15 - 19세,여자인구수[명],명,414
평창동,20 - 24세,총인구수[명],명,1034
평창동,20 - 24세,남자인구수[명],명,505
평창동,20 - 24세,여자인구수[명],명,529
평창동,25 - 29세,총인구수[명],명,1175
평창동,25 - 29세,남자인구수[명],명,589
평창동,25 - 29세,여자인구수[명],명,586
평창동,30 - 34세,총인구수[명],명,1022
평창동,30 - 34세,남자인구수[명],명,503
평창동,30 - 34세,여자인구수[명],명,519
평창동,35 - 39세,총인구수[명],명,1103
평창동,35 - 39세,남자인구수[명],명,491
평창동,35 - 39세,여자인구수[명],명,612
평창동,40 - 44세,총인구수[명],명,1295
평창동,40 - 44세,남자인구수[명],명,594
평창동,40 - 44세,여자인구수[명],명,701
평창동,45 - 49세,총인구수[명],명,1315
평창동,45 - 49세,남자인구수[명],명,571
평창동,45 - 49세,여자인구수[명],명,744
평창동,50 - 54세,총인구수[명],명,1667
평창동,50 - 54세,남자인구수[명],명,744
평창동,50 - 54세,여자인구수[명],명,923
평창동,55 - 59세,총인구수[명],명,1549
평창동,55 - 59세,남자인구수[명],명,701
평창동,55 - 59세,여자인구수[명],명,848
평창동,60 - 64세,총인구수[명],명,1496
평창동,60 - 64세,남자인구수[명],명,728
평창동,60 - 64세,여자인구수[명],명,768
평창동,65 - 69세,총인구수[명],명,1190
평창동,65 - 69세,남자인구수[명],명,555
평창동,65 - 69세,여자인구수[명],명,635
평창동,70 - 74세,총인구수[명],명,728
평창동,70 - 74세,남자인구수[명],명,352
평창동,70 - 74세,여자인구수[명],명,376
평창동,75 - 79세,총인구수[명],명,607
평창동,75 - 79세,남자인구수[명],명,251
평창동,75 - 79세,여자인구수[명],명,356
평창동,80 - 84세,총인구수[명],명,494
평창동,80 - 84세,남자인구수[명],명,206
평창동,80 - 84세,여자인구수[명],명,288
평창동,85 - 89세,총인구수[명],명,287
평창동,85 - 89세,남자인구수[명],명,111
평창동,85 - 89세,여자인구수[명],명,176
평창동,90 - 94세,총인구수[명],명,109
평창동,90 - 94세,남자인구수[명],명,32
평창동,90 - 94세,여자인구수[명],명,77
평창동,95 - 99세,총인구수[명],명,31
평창동,95 - 99세,남자인구수[명],명,6
평창동,95 - 99세,여자인구수[명],명,25
평창동,100+,총인구수[명],명,10
평창동,100+,남자인구수[명],명,3
평창동,100+,여자인구수[명],명,7
무악동,계,총인구수[명],명,8056
무악동,계,남자인구수[명],명,3730
무악동,계,여자인구수[명],명,4326
무악동,0 - 4세,총인구수[명],명,219
무악동,0 - 4세,남자인구수[명],명,104
무악동,0 - 4세,여자인구수[명],명,115
무악동,5 - 9세,총인구수[명],명,375
무악동,5 - 9세,남자인구수[명],명,163
무악동,5 - 9세,여자인구수[명],명,212
무악동,10 - 14세,총인구수[명],명,486
무악동,10 - 14세,남자인구수[명],명,210
무악동,10 - 14세,여자인구수[명],명,276
무악동,15 - 19세,총인구수[명],명,455
무악동,15 - 19세,남자인구수[명],명,205
무악동,15 - 19세,여자인구수[명],명,250
무악동,20 - 24세,총인구수[명],명,450
무악동,20 - 24세,남자인구수[명],명,200
무악동,20 - 24세,여자인구수[명],명,250
무악동,25 - 29세,총인구수[명],명,409
무악동,25 - 29세,남자인구수[명],명,203
무악동,25 - 29세,여자인구수[명],명,206
무악동,30 - 34세,총인구수[명],명,359
무악동,30 - 34세,남자인구수[명],명,164
무악동,30 - 34세,여자인구수[명],명,195
무악동,35 - 39세,총인구수[명],명,493
무악동,35 - 39세,남자인구수[명],명,229
무악동,35 - 39세,여자인구수[명],명,264
무악동,40 - 44세,총인구수[명],명,619
무악동,40 - 44세,남자인구수[명],명,278
무악동,40 - 44세,여자인구수[명],명,341
무악동,45 - 49세,총인구수[명],명,720
무악동,45 - 49세,남자인구수[명],명,346
무악동,45 - 49세,여자인구수[명],명,374
무악동,50 - 54세,총인구수[명],명,836
무악동,50 - 54세,남자인구수[명],명,430
무악동,50 - 54세,여자인구수[명],명,406
무악동,55 - 59세,총인구수[명],명,602
무악동,55 - 59세,남자인구수[명],명,297
무악동,55 - 59세,여자인구수[명],명,305
무악동,60 - 64세,총인구수[명],명,575
무악동,60 - 64세,남자인구수[명],명,277
무악동,60 - 64세,여자인구수[명],명,298
무악동,65 - 69세,총인구수[명],명,472
무악동,65 - 69세,남자인구수[명],명,223
무악동,65 - 69세,여자인구수[명],명,249
무악동,70 - 74세,총인구수[명],명,328
무악동,70 - 74세,남자인구수[명],명,136
무악동,70 - 74세,여자인구수[명],명,192
무악동,75 - 79세,총인구수[명],명,252
무악동,75 - 79세,남자인구수[명],명,109
무악동,75 - 79세,여자인구수[명],명,143
무악동,80 - 84세,총인구수[명],명,260
무악동,80 - 84세,남자인구수[명],명,99
무악동,80 - 84세,여자인구수[명],명,161
무악동,85 - 89세,총인구수[명],명,105
무악동,85 - 89세,남자인구수[명],명,45
무악동,85 - 89세,여자인구수[명],명,60
무악동,90 - 94세,총인구수[명],명,29
무악동,90 - 94세,남자인구수[명],명,10
무악동,90 - 94세,여자인구수[명],명,19
무악동,95 - 99세,총인구수[명],명,9
무악동,95 - 99세,남자인구수[명],명,2
무악동,95 - 99세,여자인구수[명],명,7
무악동,100+,총인구수[명],명,3
무악동,100+,남자인구수[명],명,0
무악동,100+,여자인구수[명],명,3
교남동,계,총인구수[명],명,9875
교남동,계,남자인구수[명],명,4550
교남동,계,여자인구수[명],명,5325
교남동,0 - 4세,총인구수[명],명,343
교남동,0 - 4세,남자인구수[명],명,167
교남동,0 - 4세,여자인구수[명],명,176
교남동,5 - 9세,총인구수[명],명,434
교남동,5 - 9세,남자인구수[명],명,219
교남동,5 - 9세,여자인구수[명],명,215
교남동,10 - 14세,총인구수[명],명,402
교남동,10 - 14세,남자인구수[명],명,204
교남동,10 - 14세,여자인구수[명],명,198
교남동,15 - 19세,총인구수[명],명,404
교남동,15 - 19세,남자인구수[명],명,180
교남동,15 - 19세,여자인구수[명],명,224
교남동,20 - 24세,총인구수[명],명,481
교남동,20 - 24세,남자인구수[명],명,233
교남동,20 - 24세,여자인구수[명],명,248
교남동,25 - 29세,총인구수[명],명,657
교남동,25 - 29세,남자인구수[명],명,305
교남동,25 - 29세,여자인구수[명],명,352
교남동,30 - 34세,총인구수[명],명,716
교남동,30 - 34세,남자인구수[명],명,313
교남동,30 - 34세,여자인구수[명],명,403
교남동,35 - 39세,총인구수[명],명,780
교남동,35 - 39세,남자인구수[명],명,358
교남동,35 - 39세,여자인구수[명],명,422
교남동,40 - 44세,총인구수[명],명,883
교남동,40 - 44세,남자인구수[명],명,408
교남동,40 - 44세,여자인구수[명],명,475
교남동,45 - 49세,총인구수[명],명,870
교남동,45 - 49세,남자인구수[명],명,404
교남동,45 - 49세,여자인구수[명],명,466
교남동,50 - 54세,총인구수[명],명,913
교남동,50 - 54세,남자인구수[명],명,440
교남동,50 - 54세,여자인구수[명],명,473
교남동,55 - 59세,총인구수[명],명,706
교남동,55 - 59세,남자인구수[명],명,348
교남동,55 - 59세,여자인구수[명],명,358
교남동,60 - 64세,총인구수[명],명,651
교남동,60 - 64세,남자인구수[명],명,296
교남동,60 - 64세,여자인구수[명],명,355
교남동,65 - 69세,총인구수[명],명,521
교남동,65 - 69세,남자인구수[명],명,236
교남동,65 - 69세,여자인구수[명],명,285
교남동,70 - 74세,총인구수[명],명,404
교남동,70 - 74세,남자인구수[명],명,155
교남동,70 - 74세,여자인구수[명],명,249
교남동,75 - 79세,총인구수[명],명,301
교남동,75 - 79세,남자인구수[명],명,118
교남동,75 - 79세,여자인구수[명],명,183
교남동,80 - 84세,총인구수[명],명,245
교남동,80 - 84세,남자인구수[명],명,111
교남동,80 - 84세,여자인구수[명],명,134
교남동,85 - 89세,총인구수[명],명,128
교남동,85 - 89세,남자인구수[명],명,45
교남동,85 - 89세,여자인구수[명],명,83
교남동,90 - 94세,총인구수[명],명,30
교남동,90 - 94세,남자인구수[명],명,8
교남동,90 - 94세,여자인구수[명],명,22
교남동,95 - 99세,총인구수[명],명,5
교남동,95 - 99세,남자인구수[명],명,2
교남동,95 - 99세,여자인구수[명],명,3
교남동,100+,총인구수[명],명,1
교남동,100+,남자인구수[명],명,0
교남동,100+,여자인구수[명],명,1
가회동,계,총인구수[명],명,3961
가회동,계,남자인구수[명],명,1832
가회동,계,여자인구수[명],명,2129
가회동,0 - 4세,총인구수[명],명,64
가회동,0 - 4세,남자인구수[명],명,40
가회동,0 - 4세,여자인구수[명],명,24
가회동,5 - 9세,총인구수[명],명,114
가회동,5 - 9세,남자인구수[명],명,61
가회동,5 - 9세,여자인구수[명],명,53
가회동,10 - 14세,총인구수[명],명,154
가회동,10 - 14세,남자인구수[명],명,75
가회동,10 - 14세,여자인구수[명],명,79
가회동,15 - 19세,총인구수[명],명,144
가회동,15 - 19세,남자인구수[명],명,72
가회동,15 - 19세,여자인구수[명],명,72
가회동,20 - 24세,총인구수[명],명,189
가회동,20 - 24세,남자인구수[명],명,90
가회동,20 - 24세,여자인구수[명],명,99
가회동,25 - 29세,총인구수[명],명,263
가회동,25 - 29세,남자인구수[명],명,120
가회동,25 - 29세,여자인구수[명],명,143
가회동,30 - 34세,총인구수[명],명,260
가회동,30 - 34세,남자인구수[명],명,109
가회동,30 - 34세,여자인구수[명],명,151
가회동,35 - 39세,총인구수[명],명,253
가회동,35 - 39세,남자인구수[명],명,127
가회동,35 - 39세,여자인구수[명],명,126
가회동,40 - 44세,총인구수[명],명,342
가회동,40 - 44세,남자인구수[명],명,163
가회동,40 - 44세,여자인구수[명],명,179
가회동,45 - 49세,총인구수[명],명,325
가회동,45 - 49세,남자인구수[명],명,154
가회동,45 - 49세,여자인구수[명],명,171
가회동,50 - 54세,총인구수[명],명,368
가회동,50 - 54세,남자인구수[명],명,180
가회동,50 - 54세,여자인구수[명],명,188
가회동,55 - 59세,총인구수[명],명,315
가회동,55 - 59세,남자인구수[명],명,145
가회동,55 - 59세,여자인구수[명],명,170
가회동,60 - 64세,총인구수[명],명,338
가회동,60 - 64세,남자인구수[명],명,163
가회동,60 - 64세,여자인구수[명],명,175
가회동,65 - 69세,총인구수[명],명,229
가회동,65 - 69세,남자인구수[명],명,106
가회동,65 - 69세,여자인구수[명],명,123
가회동,70 - 74세,총인구수[명],명,190
가회동,70 - 74세,남자인구수[명],명,79
가회동,70 - 74세,여자인구수[명],명,111
가회동,75 - 79세,총인구수[명],명,183
가회동,75 - 79세,남자인구수[명],명,66
가회동,75 - 79세,여자인구수[명],명,117
가회동,80 - 84세,총인구수[명],명,135
가회동,80 - 84세,남자인구수[명],명,54
가회동,80 - 84세,여자인구수[명],명,81
가회동,85 - 89세,총인구수[명],명,62
가회동,85 - 89세,남자인구수[명],명,23
가회동,85 - 89세,여자인구수[명],명,39
가회동,90 - 94세,총인구수[명],명,25
가회동,90 - 94세,남자인구수[명],명,4
가회동,90 - 94세,여자인구수[명],명,21
가회동,95 - 99세,총인구수[명],명,8
가회동,95 - 99세,남자인구수[명],명,1
가회동,95 - 99세,여자인구수[명],명,7
가회동,100+,총인구수[명],명,0
가회동,100+,남자인구수[명],명,0
가회동,100+,여자인구수[명],명,0
종로1.2.3.4가동,계,총인구수[명],명,6750
종로1.2.3.4가동,계,남자인구수[명],명,4076
종로1.2.3.4가동,계,여자인구수[명],명,2674
종로1.2.3.4가동,0 - 4세,총인구수[명],명,85
종로1.2.3.4가동,0 - 4세,남자인구수[명],명,41
종로1.2.3.4가동,0 - 4세,여자인구수[명],명,44
종로1.2.3.4가동,5 - 9세,총인구수[명],명,88
종로1.2.3.4가동,5 - 9세,남자인구수[명],명,50
종로1.2.3.4가동,5 - 9세,여자인구수[명],명,38
종로1.2.3.4가동,10 - 14세,총인구수[명],명,118
종로1.2.3.4가동,10 - 14세,남자인구수[명],명,70
종로1.2.3.4가동,10 - 14세,여자인구수[명],명,48
종로1.2.3.4가동,15 - 19세,총인구수[명],명,93
종로1.2.3.4가동,15 - 19세,남자인구수[명],명,36
종로1.2.3.4가동,15 - 19세,여자인구수[명],명,57
종로1.2.3.4가동,20 - 24세,총인구수[명],명,366
종로1.2.3.4가동,20 - 24세,남자인구수[명],명,152
종로1.2.3.4가동,20 - 24세,여자인구수[명],명,214
종로1.2.3.4가동,25 - 29세,총인구수[명],명,633
종로1.2.3.4가동,25 - 29세,남자인구수[명],명,335
종로1.2.3.4가동,25 - 29세,여자인구수[명],명,298
종로1.2.3.4가동,30 - 34세,총인구수[명],명,534
종로1.2.3.4가동,30 - 34세,남자인구수[명],명,301
종로1.2.3.4가동,30 - 34세,여자인구수[명],명,233
종로1.2.3.4가동,35 - 39세,총인구수[명],명,418
종로1.2.3.4가동,35 - 39세,남자인구수[명],명,246
종로1.2.3.4가동,35 - 39세,여자인구수[명],명,172
종로1.2.3.4가동,40 - 44세,총인구수[명],명,418
종로1.2.3.4가동,40 - 44세,남자인구수[명],명,254
종로1.2.3.4가동,40 - 44세,여자인구수[명],명,164
종로1.2.3.4가동,45 - 49세,총인구수[명],명,439
종로1.2.3.4가동,45 - 49세,남자인구수[명],명,278
종로1.2.3.4가동,45 - 49세,여자인구수[명],명,161
종로1.2.3.4가동,50 - 54세,총인구수[명],명,553
종로1.2.3.4가동,50 - 54세,남자인구수[명],명,383
종로1.2.3.4가동,50 - 54세,여자인구수[명],명,170
종로1.2.3.4가동,55 - 59세,총인구수[명],명,612
종로1.2.3.4가동,55 - 59세,남자인구수[명],명,428
종로1.2.3.4가동,55 - 59세,여자인구수[명],명,184
종로1.2.3.4가동,60 - 64세,총인구수[명],명,696
종로1.2.3.4가동,60 - 64세,남자인구수[명],명,475
종로1.2.3.4가동,60 - 64세,여자인구수[명],명,221
종로1.2.3.4가동,65 - 69세,총인구수[명],명,593
종로1.2.3.4가동,65 - 69세,남자인구수[명],명,409
종로1.2.3.4가동,65 - 69세,여자인구수[명],명,184
종로1.2.3.4가동,70 - 74세,총인구수[명],명,372
종로1.2.3.4가동,70 - 74세,남자인구수[명],명,238
종로1.2.3.4가동,70 - 74세,여자인구수[명],명,134
종로1.2.3.4가동,75 - 79세,총인구수[명],명,340
종로1.2.3.4가동,75 - 79세,남자인구수[명],명,184
종로1.2.3.4가동,75 - 79세,여자인구수[명],명,156
종로1.2.3.4가동,80 - 84세,총인구수[명],명,241
종로1.2.3.4가동,80 - 84세,남자인구수[명],명,134
종로1.2.3.4가동,80 - 84세,여자인구수[명],명,107
종로1.2.3.4가동,85 - 89세,총인구수[명],명,104
종로1.2.3.4가동,85 - 89세,남자인구수[명],명,51
종로1.2.3.4가동,85 - 89세,여자인구수[명],명,53
종로1.2.3.4가동,90 - 94세,총인구수[명],명,36
종로1.2.3.4가동,90 - 94세,남자인구수[명],명,6
종로1.2.3.4가동,90 - 94세,여자인구수[명],명,30
종로1.2.3.4가동,95 - 99세,총인구수[명],명,9
종로1.2.3.4가동,95 - 99세,남자인구수[명],명,3
종로1.2.3.4가동,95 - 99세,여자인구수[명],명,6
종로1.2.3.4가동,100+,총인구수[명],명,2
