시설물개수,인구밀도 (명/㎢),하천,자동차등록대수,자전거도로(km),지하철_총승객수,버스_총승객수,학교개수,영화관개수,대학교개수,강_한강,cluster,행정동명
3,36544,1,6184.955837,2.446563503,0,160333,6,0,0,0,0,신정2동
14,18598,0,16464.68247,6.512882593,573959,966712,11,0,0,0,2,신정3동
11,25158,0,7860.814259,3.109477541,385287,300514,5,0,0,0,0,신정6동
7,23619,1,9301.681464,3.679436844,385287,242359,4,0,0,0,0,신정7동
29,7410,0,17421.10941,4.336470154,0,1895555,5,0,2,0,2,양재1동
14,2872,0,8883.814806,2.211363057,0,857375,3,0,0,0,0,양재2동
3,21255,1,6759.313942,3.140330957,577719,309118,1,0,0,0,0,양평1동
4,7528,1,8161.119908,3.791600407,437948,582218,3,0,0,1,3,양평2동
20,3919,0,11897.82362,5.527647354,7984912,2788411,5,1,0,1,1,여의동
10,23924,1,13960.67577,5.678604375,0,714378,4,0,0,1,3,염창동
28,24175,0,11008.09784,5.114286853,575286,2147150,2,1,1,0,2,영등포동
9,22269,0,8208.461125,3.813594812,2391986,379193,5,0,0,0,0,영등포본동
18,23053,0,13608.79783,5.639052557,1036528,594270,7,0,0,0,2,오금동
22,12040,0,12897.11243,1.71875,1251401,448060,8,0,0,0,2,오류2동
5,5616,0,6369.877661,2.639474504,207869,380253,2,0,0,0,0,오륜동
11,37365,0,9014.205776,2.671274377,2044407,550844,2,0,0,0,0,왕십리도선동
19,22445,0,10069.16029,4.034341649,4179549,2056816,5,0,0,0,2,용신동
18,31532,0,14381.56191,5.849802811,0,600892,1,0,0,0,2,우장산동
10,18603,0,6168.755136,1.879184119,970546,841697,3,0,1,0,0,월계1동
6,17495,0,15961.54528,6.613956193,0,783823,6,0,0,0,2,위례동
9,27733,0,9105.652622,3.204473985,1766865,886598,2,0,0,0,0,응암1동
7,39840,0,6250.477526,3.259006471,0,389865,1,0,0,0,0,자양1동
7,14436,0,6675.451646,3.480588487,0,385819,8,0,0,1,3,자양2동
7,23215,0,7667.700159,3.997948051,646740,334923,2,1,0,1,3,자양3동
5,15998,0,12477.8619,5.170428714,1227186,321933,9,0,0,1,3,잠실2동
7,22915,0,12215.6107,5.061760166,0,1011002,3,0,0,0,0,잠실3동
17,5990,0,5979.541977,2.477731824,766020,852829,3,1,0,1,3,잠실6동
13,30168,1,10145.86558,4.20412368,370656,538257,1,0,0,0,0,잠실본동
14,14996,0,10772.32951,2.681452962,271394,664621,2,0,0,1,3,잠원동
11,21242,0,10412.05233,4.314422996,0,571880,6,0,0,0,0,장지동
6,21662,0,5190.757039,2.079745152,0,515175,5,0,0,0,0,전농2동
29,3702,0,2737.062694,1.982170614,11550312,3700523,2,4,5,0,1,종로1.2.3.4가동
5,42190,0,7598.031118,2.314583591,0,392062,4,0,0,0,0,중계1동
16,37219,0,9575.291511,2.91691522,762176,518843,2,1,0,0,0,중계2.3동
19,4773,0,15058.15939,5.299288479,1163598,1313228,17,1,0,0,2,진관동
6,27496,1,7408.714102,1.086890004,0,663518,9,0,0,0,0,창4동
7,34776,0,6904.41895,1.012907752,2925008,424604,3,2,0,0,0,창5동
23,21545,0,11209.73749,5.794917102,0,547707,3,0,1,1,3,천호2동
5,15912,0,5320.323952,2.131657842,2163860,541360,2,0,1,0,0,청량리동
14,7892,0,7662.636356,3.418002766,6963977,1610947,3,2,0,1,3,한강로동
8,17314,0,6100.818363,4.418189948,2014877,976690,7,1,0,0,0,혜화동
21,47006,0,17656.08959,7.181740284,4586661,1088378,3,1,0,0,2,화곡1동
6,22795,0,8485.802323,3.451660577,0,766801,1,0,0,0,0,화곡6동
10,23347,0,7454.11213,3.886582996,5812056,656642,3,1,1,0,0,화양동
6,23491,1,6872.8978,2.753716997,0,663715,11,0,1,0,0,휘경2동
